PFBCOLO CB Equity;ECOPETL CB Equity;GRUPOSUR CB Equity;BCOLO CB Equity;ISA CB Equity;NUTRESA CB Equity;GEB CB Equity;GRUPOARG CB Equity;PFAVAL CB Equity;PFGRUPSU CB Equity;PFDAVVND CB Equity;CEMARGOS CB Equity;PFGRUPOA CB Equity;EXITO CB Equity;BOGOTA CB Equity;CELSIA CB Equity;CORFICOL CB Equity;PFCEMARG CB Equity;CLH CB Equity;AVAL CB Equity;PFAVH CB Equity;BVC CB Equity;CNEC CB Equity;CONCONC CB Equity;ETB CB Equity
 25.620 ; 1.395 ; 38.060 ; 23.900 ; 8.810 ; 25.060 ; 1.810 ; 18.400 ; 1.170 ; 37.660 ; 26.980 ; 11.800 ; 17.580 ; 14.400 ; 58.500 ; 3.818 ; 36.310 ; 10.920 ; 12.600 ; 1.165 ; 2.240 ; 8.850 ; 10.260 ; 1.100 ; 592 
 25.480 ; 1.395 ; 38.300 ; 23.800 ; 8.940 ; 25.100 ; 1.785 ; 18.500 ; 1.180 ; 37.580 ; 26.880 ; 11.920 ; 17.820 ; 14.200 ; 58.500 ; 3.808 ; 36.501 ; 11.000 ; 12.600 ; 1.160 ; 2.240 ; 9.000 ; 9.800 ; 1.125 ; 587 
 25.700 ; 1.405 ; 37.940 ; 24.000 ; 8.920 ; 25.100 ; 1.795 ; 18.500 ; 1.180 ; 37.140 ; 26.840 ; 11.860 ; 17.640 ; 14.300 ; 58.200 ; 3.818 ; 36.138 ; 10.940 ; 12.580 ; 1.170 ; 2.235 ; 9.100 ; 9.900 ; 1.115 ; 587 
 25.700 ; 1.405 ; 37.940 ; 24.000 ; 8.920 ; 25.100 ; 1.795 ; 18.500 ; 1.180 ; 37.140 ; 26.840 ; 11.860 ; 17.640 ; 14.300 ; 58.200 ; 3.818 ; 36.138 ; 10.940 ; 12.580 ; 1.170 ; 2.235 ; 9.100 ; 9.900 ; 1.115 ; 587 
 25.400 ; 1.370 ; 38.080 ; 23.600 ; 8.920 ; 24.840 ; 1.785 ; 18.500 ; 1.165 ; 37.120 ; 26.720 ; 11.700 ; 17.900 ; 14.000 ; 57.980 ; 3.778 ; 36.042 ; 11.000 ; 12.500 ; 1.155 ; 2.240 ; 9.100 ; 10.160 ; 1.095 ; 587 
 25.420 ; 1.370 ; 38.500 ; 23.800 ; 9.000 ; 25.000 ; 1.785 ; 18.600 ; 1.170 ; 37.940 ; 27.000 ; 11.820 ; 17.900 ; 13.820 ; 58.140 ; 3.813 ; 36.195 ; 10.940 ; 12.480 ; 1.175 ; 2.215 ; 9.900 ; 10.200 ; 1.085 ; 584 
 25.380 ; 1.355 ; 38.040 ; 23.500 ; 8.820 ; 25.000 ; 1.765 ; 18.600 ; 1.175 ; 37.600 ; 26.600 ; 11.800 ; 17.460 ; 13.860 ; 58.940 ; 3.808 ; 35.985 ; 10.780 ; 12.400 ; 1.160 ; 2.220 ; 9.750 ; 10.180 ; 1.090 ; 596 
 25.320 ; 1.350 ; 37.660 ; 23.500 ; 8.800 ; 24.840 ; 1.780 ; 18.580 ; 1.170 ; 36.920 ; 26.400 ; 11.820 ; 17.820 ; 13.800 ; 58.940 ; 3.808 ; 35.966 ; 10.940 ; 12.040 ; 1.150 ; 2.200 ; 9.350 ; 9.900 ; 1.090 ; 589 
 25.540 ; 1.370 ; 38.200 ; 23.520 ; 8.950 ; 24.880 ; 1.800 ; 18.740 ; 1.170 ; 37.500 ; 26.300 ; 11.860 ; 17.800 ; 13.960 ; 58.500 ; 3.818 ; 36.291 ; 10.960 ; 11.880 ; 1.170 ; 2.280 ; 9.250 ; 9.750 ; 1.105 ; 589 
 25.780 ; 1.390 ; 38.740 ; 24.000 ; 9.100 ; 25.280 ; 1.800 ; 18.800 ; 1.170 ; 38.000 ; 26.360 ; 11.880 ; 18.000 ; 14.000 ; 58.880 ; 3.872 ; 36.826 ; 10.980 ; 12.200 ; 1.165 ; 2.345 ; 9.350 ; 10.160 ; 1.100 ; 584 
